id,code,name,right_type,client_responsible,interval,reason_code,app_type_id/id,office_code
edi_ace_errand.errand_159,159,Test Sök,,,,,,
edi_ace_errand.errand_160,160,Test Arb,,,,,,
edi_ace_errand.errand_161,161,Utb Sök,,,,,,
edi_ace_errand.errand_162,162,Utb Arb,,,,,,
edi_ace_errand.errand_163,163,Kampanj,,,,,,
edi_ace_errand.errand_168,168,Allmänna frågor,,,,,,
edi_ace_errand.errand_173,173,Externhelpdesk,Stark,,1,28,,
edi_ace_errand.errand_195,195,Somaliska,Mycket Stark,,1,29,,
edi_ace_errand.errand_196,196,Persiska,Mycket Stark,,1,29,,
edi_ace_errand.errand_197,197,Arabiska,Mycket Stark,,1,29,,
edi_ace_errand.errand_198,198,Nöjd AG,,,,,,
edi_ace_errand.errand_199,199,Tigrinja,Mycket Stark,,1,29,,
edi_ace_errand.errand_202,202,Ryska,Mycket Stark,,1,29,,
edi_ace_errand.errand_253,253,Svenska,Mycket Stark,,1,29,,
edi_ace_errand.errand_254,254,Engelska,Mycket Stark,,1,29,,
edi_ace_errand.errand_301,301,ValidArabiska,Mycket Stark,,1,29,,
edi_ace_errand.errand_302,302,ValidSomaliska,Mycket Stark,,1,29,,
edi_ace_errand.errand_400,400,Matcha AUB,Stark,,1,28,,
edi_ace_errand.errand_788,788,Från Servicedesk,,,,,,
edi_ace_errand.errand_988,988,Epost AS Intyg,,,,,,
edi_ace_errand.errand_989,989,Epost Dists AS,,,,,,
edi_ace_errand.errand_992,992,E-post AS Avaktu,Mycket Stark,,1,29,,
edi_ace_errand.errand_993,993,EpostAS_ÖF,,,,,,
edi_ace_errand.errand_995,995,Chatt,Stark,,1,28,,
edi_ace_errand.errand_996,996,Epost_AGIntresse,,,,,,
edi_ace_errand.errand_997,997,EpostArb,,,,,,
edi_ace_errand.errand_998,998,E-post allmänt,,,,,,
edi_ace_errand.errand_999,999,Callback allmänt,,,,,,
edi_ace_errand.errand_c10,c10,ChattAGSve,Stark,,1,28,,
edi_ace_errand.errand_c20,c20,ChattAGEng,Stark,,1,28,,
edi_ace_errand.errand_c30,c30,ChattASSve,Stark,,1,28,,
edi_ace_errand.errand_c40,c40,ChattASEng,Stark,,1,28,,
edi_ace_errand.errand_c50,c50,ChattASVGL,Stark,,1,28,,
edi_ace_errand.errand_c60,c60,ChattASVarsel,Stark,,1,28,,
edi_ace_errand.errand_CB,CB,AS SSC Insk CB,Stark,,1,28,,
edi_ace_errand.errand_CB1,CB1,AS SSC Återinsk,Stark,,1,28,,
edi_ace_errand.errand_cmg,cmg,CMG,,,,,,
edi_ace_errand.errand_e1,e1,ETA Svenska,Mycket Stark,,1,29,,
edi_ace_errand.errand_e2,e2,ETA Engelska,Mycket Stark,,1,29,,
edi_ace_errand.errand_e3,e3,ETA Arabiska,Mycket Stark,,1,29,,
edi_ace_errand.errand_e4,e4,ETA Somaliska,Mycket Stark,,1,29,,
edi_ace_errand.errand_e5,e5,ETA Tigrinja,Mycket Stark,,1,29,,
edi_ace_errand.errand_e6,e6,ETA Persiska,Mycket Stark,,1,29,,
edi_ace_errand.errand_ecg,ecg,eCMG,,,,,,
edi_ace_errand.errand_g1,g1,AG Rekrytering,Stark,,1,28,,
edi_ace_errand.errand_g2,g2,AG Anställa Stöd,Stark,,1,28,,
edi_ace_errand.errand_g3,g3,AG Eures,Stark,,1,28,,
edi_ace_errand.errand_g4,g4,AG Utbet Stöd,Stark,,1,28,,
edi_ace_errand.errand_g5,g5,AG Återbet Skuld,Stark,,1,28,,
edi_ace_errand.errand_g6,g6,AG Teknisk Supp,Stark,,1,28,,
edi_ace_errand.errand_g7,g7,AG Varsel,Stark,,1,28,,
edi_ace_errand.errand_g8,g8,AG Synpunkt,Stark,,1,28,,
edi_ace_errand.errand_g9,g9,AG Övrigt,,,,,,
edi_ace_errand.errand_h10,h10,ChattbotAG,,,,,,
edi_ace_errand.errand_h20,h20,ChatbottAS,,,,,,
edi_ace_errand.errand_k01,k01,Epost_EGK_Int,,,,,,
edi_ace_errand.errand_k02,k02,Epost_EGK_Ext,,,,,,
edi_ace_errand.errand_k03,k03,Epost_stickprov,,,,,,
edi_ace_errand.errand_km1,km1,AS KulturMedia,Stark,,1,28,,
edi_ace_errand.errand_km2,km2,Epost KulturMedi,,,,,,
edi_ace_errand.errand_l1,l1,Lev Utbetalning,Stark,,1,28,,
edi_ace_errand.errand_l2,l2,Lev Faktura,Stark,,1,28,,
edi_ace_errand.errand_l3,l3,Lev Konferens,,,,,,
edi_ace_errand.errand_l4,l4,Lev Resor Övrig,,,,,,
edi_ace_errand.errand_l5,l5,Lev Lokalförs,,,,,,
edi_ace_errand.errand_l6,l6,Lev Växel,,,,,,
